;Codigo;Nome;Preco R$;VolumeMedio;DividendYield %;PatrimonioLiq R$;P/VP;Cotas;Segmento;Valorizacao12Meses
HGRE11;HGRE11;CSHG REAL ESTATE FDO INV IMOB - FII; 148,80;11.810;0,47; 1,1 bi;0,98;40.000;Lajes Corporativas;0.02
HGRU11;HGRU11;CSHG RENDA URBANA - FDO INV IMOB - FII; 108,35;2.639;0,58; 150.000;1,05;1.500.000;Híbrido;0.0
HMOC11;HMOC11;HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB; 230,00;2.985;0,56; 69.000;1,28;382.017;Shoppings;-0.14
HUSC11;HUSC11;FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA; 173,99;12;0,84; 72.000;1,74;721.821;Outros;0.0
IRDM11;IRDM11;FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS; 113,78;6.389;0,70; 180.000;1,19;1.080.000;Títulos e Val. Mob.;-0.0
JSRE11;JSRE11;JS REAL ESTATE MULTIGESTÃO - FII; 105,07;11.617;0,52; 900.000;0,95;60.000;Híbrido;0.0
KNCR11;KNCR11;KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII; 103,85;34.318;0,57; 3,7 bi;0,99;200.000;Títulos e Val. Mob.;0.0
KNHY11;KNHY11;KINEA HIGH YIELD CRI FDO INV IMOB - FII; 114,99;1.446;0,88; 420.000;1,10;4.000.000;Títulos e Val. Mob.;0.0
KNIP11;KNIP11;KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII; 112,82;13.935;0,76; 1,9 bi;1,06;4.000.000;Títulos e Val. Mob.;0.03
KNRE11;KNRE11;KINEA II REAL ESTATE EQUITY FDO INV IMOB; 8,70;9.619;0,96; 130.000;1,28;10.000;Residencial;-0.37
KNRI11;KNRI11;KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII; 151,33;27.566;0,49; 2,6 bi;1,05;258.979;Híbrido;0.03
LVBI11;LVBI11;FDO INV IMOB - VBI LOGÍSTICO; 113,00;481;0,62; 300.000;1,16;3.030.000;Logística;0.0
MALL11;MALL11;MALLS BRASIL PLURAL FDO INV IMOB; 106,02;7.295;0,55; 290.000;0,97;1.860.134;Shoppings;0.14
MBRF11;MBRF11;FDO INV IMOB MERCANTIL DO BRASIL - FII; 1.200,01;60;0,70; 120.000;1,02;101.664;Outros;0.03
MFII11;MFII11;MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I - FII; 110,25;4.515;1,04; 200.000;1,10;57.000;Híbrido;-0.11
MXRF11;MXRF11;MAXI RENDA FDO INV IMOB - FII; 11,47;66.809;0,62; 290.000;1,24;538.834;Híbrido;-0.03
NVHO11;NVHO11;FDO INV IMOB - FII NOVO HORIZONTE; 31,10;166;0,18; 300.000;4,33;41.494.533;Hospital;0.03
ONEF11;ONEF11;FDO INV IMOB THE ONE; 145,40;570;0,49; 100.000;1,30;32.100;Lajes Corporativas;0.02
ORPD11;ORPD11;OURO PRETO DESENV IMOB I FDO INV IMOB - FII; 123,62;1;N/A; 36.000;0,98;N/A;Títulos e Val. Mob.;0.11
OUCY11;OUCY11;FUNDO INV IMOB - OURINVEST CYRELA - FII; 95,15;686;0,65; 52.000;0,97;533.916;Títulos e Val. Mob.;-0.03
OUJP11;OUJP11;OURINVEST JPP FDO INV IMOB - FII; 109,90;2.072;0,72; 75.000;1,06;720.000;Títulos e Val. Mob.;0.02
PABY11;PABY11;FDO INV IMOB PANAMBY; 23,49;80;0,00; 190.000;0,09;758.400;Híbrido;0.05
PATC11;PATC11;PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII; 99,87;3.353;0,30; 150.000;1,00;1.502.052;N/A;0.0
PLRI11;PLRI11;POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I; 63,00;248;0,76; 73.000;0,82;954.304;Títulos e Val. Mob.;-0.14
PORD11;PORD11;POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII; 105,60;1.186;0,00; 100.000;1,01;1.000.000;Títulos e Val. Mob.;-0.02
PQDP11;PQDP11;FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER; 3.029,92;40;0,40; 700.000;1,03;238.477;Shoppings;0.1
PRSV11;PRSV11;FDO INV IMOB - FII PRESIDENTE VARGAS; 375,00;317;0,61; 79.000;0,92;195.000;Lajes Corporativas;0.0
RBBV11;RBBV11;JHSF RIO BRAVO FAZENDA BOA VISTA CAP. PROT. - FII; 83,20;1.229;1,00; 130.000;0,83;4.000.00;Títulos e Val. Mob.;0.0
RBCB11;RBCB11;RIO BRAVO CRÉDITO IMOBILIÁRIO I FDO INV IMOB; 191,00;90;0,11; 2,1.000;4,72;53.100;Outros;-0.79
RBDS11;RBDS11;RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII; 194,60;78;0,94; 22.000;1,11;37.957;Residencial;-0.63
RBGS11;RBGS11;RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII; 43,57;751;0,23; 100.000;0,47;1.078.000;Shoppings;-0.07
RBRD11;RBRD11;RB CAPITAL RENDA II FDO INV IMOB - FII; 91,91;1.026;0,57; 140.000;1,18;1.851.786;Híbrido;0.04
RBRF11;RBRF11;FDO INV IMOB RBR ALPHA FUNDOS DE FUNDOS; 103,48;8.635;0,79; 160.000;1,04;809.992;Títulos e Val. Mob.;-0.0
RBRR11;RBRR11;FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE; 108,00;13.693;0,62; 260.000;1,13;1.480.432;Títulos e Val. Mob.;0.0
RBVO11;RBVO11;RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII; 43,03;794;0,46; 28.000;0,79;516.066;Outros;-0.08
RDES11;RDES11;RENDA DE ESCRITÓRIOS FDO INV IMOB - FII; 70,89;315;0,07; 61.000;0,86;742.000;Lajes Corporativas;-0.09
RDPD11;RDPD11;BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII; 84,02;706;0,49; 100.000;0,86;1.078.042;Títulos e Val. Mob.;0.0
RNDP11;RNDP11;BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII; 960,00;29;0,54; 120.000;0,89;107.481;Títulos e Val. Mob.;0.03
RNGO11;RNGO11;FDO INV IMOB RIO NEGRO - FII; 84,37;3.126;0,58; 250.000;0,90;2.676.000;Lajes Corporativas;0.01
SAAG11;SAAG11;SANTANDER AGÊNCIAS FDO INV IMOB - FII; 121,37;7.119;0,74; 510.000;1,35;4.014.340;Outros;0.03
SAIC11B;SAIC11B;FDO INV IMOB - FII SIA CORPORATE; 56,00;2;0,00; 110.000;0,70;650.000;Lajes Corporativas;0.0
SCPF11;SCPF11;FDO INV IMOB SCP; 11,08;1.500;0,36; 48.000;0,97;42000;Shoppings;0.03
SDIL11;SDIL11;SDI LOGÍSTICA RIO FDO INV IMOB - FII; 104,51;11.557;0,63; 320.000;1,13;1.438.853;Logística;-0.01
SHPH11;SHPH11;FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS; 922,00;117;0,40; 430.000;1,30;400.000;Shoppings;0.02
SPTW11;SPTW11;SP DOWNTOWN FDO INV IMOB - FII; 87,20;2.982;0,69; 140.000;1,15;1.798.000;Lajes Corporativas;0.02
TBOF11;TBOF11;FDO INV IMOB - FII TB OFFICE; 82,00;5.393;0,23; 880.000;0,94;10.050.000;Lajes Corporativas;0.1
TFOF11;TFOF11;CSHG TOP FOFII FDO INV IMOB - FII; 1.297,99;41;0,00; 100.000;1,06;5.000;Títulos e Val. Mob.;0.0
TGAR11;TGAR11;FDO INV IMOB TG ATIVO REAL; 125,76;6.411;0,66; 130.000;1,03;713.404;Outros;0.05
THRA11;THRA11;FDO INV IMOB - FII CYRELA THERA CORPORATE; 131,40;2.260;0,44; 150.000;1,29;1.368.247;Lajes Corporativas;0.12
TRNT11;TRNT11;FDO INV IMOB - FII TORRE NORTE; 186,01;91;0,45; 780.000;0,93;3.935.562;Lajes Corporativas;0.07
TRXL11;TRXL11;TRX REALTY LOGÍSTICA RENDA I FDO INV IMOB - FII; 96,99;6.093;0,44; 180.000;0,98;1.649.303;Logística;-0.06
UBSR11;UBSR11;FDO INV IMOB - FII UBS (BR) RECEB IMOB; 104,00;9.445;0,73; 230.000;1,07;310.888;Títulos e Val. Mob.;0.0
VGIR11;VGIR11;VALORA RE III FDO INV IMOB - FII; 103,10;3.039;0,72; 110.000;1,06;401.618;Títulos e Val. Mob.;0.0
